simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,0.484064,199.097,-77.028
0.1,0.489648,199.14,-77.0768
0.1,0.495269,199.338,-77.2803
0.1,0.500927,199.233,-77.1807
0.1,0.506621,199.294,-77.2482
0.10002024,0.2039,195.832,-108.963
0.10003024,0.190499,195.575,-108.742
0.10004024,0.190499,195.729,-109.1
0.10005024,0.193801,195.646,-108.921
0.10006024,0.190499,195.601,-108.939
0.2,0.484064,199.097,-77.028
0.2,0.489648,199.14,-77.0768
0.2,0.495269,199.338,-77.2803
0.2,0.500927,199.233,-77.1807
0.2,0.506621,199.294,-77.2482
0.20002024,0.197135,195.704,-108.829
0.20003024,0.2039,195.832,-109.012
0.20004024,0.190499,195.729,-109.1
0.20005024,0.193801,195.646,-108.921
0.20006024,0.190499,195.601,-108.939
0.3,0.484064,199.097,-77.028
0.3,0.489648,199.14,-77.0768
0.3,0.495269,199.338,-77.2803
0.3,0.500927,199.233,-77.1807
0.3,0.506621,199.294,-77.2482
0.30002024,0.200502,195.768,-108.897
0.30003024,0.190499,195.575,-108.742
0.30004024,0.200502,195.923,-109.304
0.30005024,0.2039,195.838,-109.123
0.30006024,0.190499,195.601,-108.939
0.4,0.484064,199.097,-77.028
0.4,0.489648,199.14,-77.0768
0.4,0.495269,199.338,-77.2803
0.4,0.500927,199.233,-77.1807
0.4,0.506621,199.294,-77.2482
0.40002024,0.197135,195.704,-108.829
0.40003024,0.2039,195.832,-109.012
0.40004024,0.193801,195.794,-109.168
0.40005024,0.2039,195.838,-109.123
0.40006024,0.197135,195.73,-109.075
0.5,0.484064,199.097,-77.028
0.5,0.489648,199.14,-77.0768
0.5,0.495269,199.338,-77.2803
0.5,0.500927,199.233,-77.1807
0.5,0.506621,199.294,-77.2482
0.50002024,0.2039,195.832,-108.963
0.50003024,0.200502,195.768,-108.945
0.50004024,0.200502,195.923,-109.304
0.50005024,0.197135,195.711,-108.989
0.50006024,0.200502,195.794,-109.143
0.6,0.484064,199.097,-77.028
0.6,0.489648,199.14,-77.0768
0.6,0.495269,199.338,-77.2803
0.6,0.500927,199.233,-77.1807
