simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,8.64574,206.456,-92.5492
0.1,8.68841,206.475,-92.6104
0.1,8.7312,206.648,-92.8264
0.1,8.77411,206.518,-92.7398
0.1,8.81713,206.556,-92.8204
0.10002024,6.09984,205.139,-139.688
0.10003024,6.17004,205.182,-139.863
0.10004024,6.06491,205.272,-140.063
0.10005024,6.20531,205.21,-140.055
0.10006024,6.09984,205.165,-139.985
0.2,8.64574,206.456,-92.5492
0.2,8.68841,206.475,-92.6104
0.2,8.7312,206.648,-92.8264
0.2,8.77411,206.518,-92.7398
0.2,8.81713,206.556,-92.8204
0.20002024,6.13488,205.161,-139.745
0.20003024,6.17004,205.182,-139.863
0.20004024,6.06491,205.272,-140.063
0.20005024,6.09984,205.145,-139.885
0.20006024,6.06491,205.143,-139.928
0.3,8.64574,206.456,-92.5492
0.3,8.68841,206.475,-92.6104
0.3,8.7312,206.648,-92.8264
0.3,8.77411,206.518,-92.7398
0.3,8.81713,206.556,-92.8204
0.30002024,6.17004,205.182,-139.801
0.30003024,6.06491,205.117,-139.693
0.30004024,6.20531,205.358,-140.29
0.30005024,6.09984,205.145,-139.885
0.30006024,6.13488,205.186,-140.042
0.4,8.64574,206.456,-92.5492
0.4,8.68841,206.475,-92.6104
0.4,8.7312,206.648,-92.8264
0.4,8.77411,206.518,-92.7398
0.4,8.81713,206.556,-92.8204
0.40002024,6.13488,205.161,-139.745
0.40003024,6.06491,205.117,-139.693
0.40004024,6.09984,205.294,-140.12
0.40005024,6.20531,205.21,-140.055
0.40006024,6.17004,205.208,-140.098
0.5,8.64574,206.456,-92.5492
0.5,8.68841,206.475,-92.6104
0.5,8.7312,206.648,-92.8264
0.5,8.77411,206.518,-92.7398
0.5,8.81713,206.556,-92.8204
0.50002024,6.09984,205.139,-139.688
0.50003024,6.06491,205.117,-139.693
0.50004024,6.06491,205.272,-140.063
0.50005024,6.09984,205.145,-139.885
0.50006024,6.06491,205.143,-139.928
0.6,8.64574,206.456,-92.5492
0.6,8.68841,206.475,-92.6104
0.6,8.7312,206.648,-92.8264
0.6,8.77411,206.518,-92.7398
0.6,8.81713,206.556,-92.8204
0.60002024,6.17004,205.182,-139.801
0.60003024,6.06491,205.117,-139.693
0.60004024,6.20531,205.358,-140.29
0.60005024,6.09984,205.145,-139.885
0.60006024,6.17004,205.208,-140.098
0.7,8.64574,206.456,-92.5492
0.7,8.68841,206.475,-92.6104
0.7,8.7312,206.648,-92.8264
0.7,8.77411,206.518,-92.7398
0.7,8.81713,206.556,-92.8204
0.70002024,6.20531,205.204,-139.858
0.70003024,6.06491,205.117,-139.693
0.70004024,6.17004,205.337,-140.233
0.70005024,6.06491,205.124,-139.828
0.70006024,6.17004,205.208,-140.098
0.8,8.64574,206.456,-92.5492
0.8,8.68841,206.475,-92.6104
0.8,8.7312,206.648,-92.8264
0.8,8.77411,206.518,-92.7398
0.8,8.81713,206.556,-92.8204
0.80002024,6.09984,205.139,-139.688
0.80003024,6.13488,205.161,-139.806
0.80004024,6.09984,205.294,-140.12
0.80005024,6.13488,205.167,-139.942
0.80006024,6.13488,205.186,-140.042
0.9,8.64574,206.456,-92.5492
0.9,8.68841,206.475,-92.6104
0.9,8.7312,206.648,-92.8264
0.9,8.77411,206.518,-92.7398
0.9,8.81713,206.556,-92.8204
0.90002024,6.13488,205.161,-139.745
0.90003024,6.20531,205.204,-139.919
0.90004024,6.09984,205.294,-140.12
0.90005024,6.09984,205.145,-139.885
0.90006024,6.17004,205.208,-140.098
1,8.64574,206.456,-92.5492
1,8.68841,206.475,-92.6104
1,8.7312,206.648,-92.8264
1,8.77411,206.518,-92.7398
1,8.81713,206.556,-92.8204
1.00002024,6.13488,205.161,-139.745
1.00003024,6.06491,205.117,-139.693
1.00004024,6.09984,205.294,-140.12
1.00005024,6.13488,205.167,-139.942
1.00006024,6.17004,205.208,-140.098
1.1,8.64574,206.456,-92.5492
1.1,8.68841,206.475,-92.6104
1.1,8.7312,206.648,-92.8264
1.1,8.77411,206.518,-92.7398
1.1,8.81713,206.556,-92.8204
1.10002024,6.17004,205.182,-139.801
1.10003024,6.17004,205.182,-139.863
